imdb_id,budget_from_api,budget_opus_data,buget_from_imdb_website
tt0245825,0,0,
tt0230055,0,0,
tt0165986,0,0,
tt0110588,0,0,
tt0146562,0,0,
tt0232079,0,0,
tt0236008,0,0,
tt0218112,0,0,
tt0209463,0,0,
tt0159272,0,0,
tt0209933,0,0,
tt0179074,0,0,
tt0162711,0,0,
tt0159373,0,0,
tt0181830,0,0,
tt0214730,0,0,
tt0120522,0,0,
tt0211286,0,0,
tt0234837,0,0,
tt0260332,0,0,
tt0204709,0,0,
tt0031829,0,0,
tt0250774,0,0,
tt0168515,0,0,
tt0250415,0,0,
tt0162023,0,0,
tt0249380,0,0,
tt0154443,0,0,
tt0224578,0,0,
tt0189142,0,0,
tt0181618,0,0,
tt0248912,0,0,
tt0174330,0,0,
tt0215850,0,0,
tt0234137,0,0,
tt0104835,0,0,
tt0138681,0,0,
tt0209189,0,0,
tt0250690,0,0,
tt0236216,0,0,
tt0259072,0,0,
tt0210717,0,0,
tt0183869,0,0,
tt0189630,0,0,
tt0176422,0,0,
tt0160644,0,0,
tt0213121,0,0,
tt0245837,0,0,
tt0202641,0,0,
tt0233687,0,0,
tt0213890,0,0,
tt0119512,0,0,
tt0244316,0,0,
tt0251739,0,0,
tt1145144,0,0,
tt0196106,0,0,
tt0162903,0,0,
tt0172632,0,0,
tt0210075,0,0,
tt0197096,0,0,
tt0043588,0,0,
tt0211103,0,0,
tt0180837,0,0,
tt0264578,0,0,
tt1930463,0,0,
tt0213847,0,0,
tt0153464,0,0,
tt0234853,0,0,
tt0149367,0,0,
tt0243493,0,0,
tt0159382,0,0,
tt0247196,0,0,
tt0238829,0,0,
tt0213749,0,0,
tt0236000,0,0,
tt0230631,0,0,
tt0217978,0,0,
tt3187040,0,0,
tt0199727,0,0,
tt0219327,0,0,
tt0200486,0,0,
tt0220806,0,0,
tt0220760,0,0,
tt0228242,0,0,
tt0244684,0,0,
tt0287644,0,0,
tt0245540,0,0,
tt0210149,0,0,
tt0274622,0,0,
tt0243595,0,0,
tt0233427,0,0,
tt0238066,0,0,
tt0173772,0,0,
tt0161109,0,0,
tt0261900,0,0,
tt0234988,0,0,
tt0091251,0,0,
tt0264605,0,0,
tt0279231,0,0,
tt0217811,0,0,
tt0162024,0,0,
tt0230169,0,0,
tt0227458,0,0,
tt0216911,0,0,
tt0170259,0,0,
tt0236034,0,0,
tt0242627,0,0,
tt0204527,0,0,
tt0184819,0,0,
tt0135024,0,0,
tt0243483,0,0,
tt0212772,0,0,
tt0186549,0,0,
tt0120202,0,0,
tt0259981,0,0,
tt0176774,0,0,
tt6515420,0,0,
tt0267344,0,0,
tt0164917,0,0,
tt0107401,0,0,
tt0239695,0,0,
tt0158033,0,0,
tt0253063,0,0,
tt0246870,0,0,
tt0109479,0,0,
tt0276951,0,0,
tt0262210,0,0,
tt0219519,0,0,
tt0214878,0,0,
tt0251191,0,0,
tt0230783,0,0,
tt0243759,0,0,
tt0120352,0,0,
tt0161977,0,0,
tt0177749,0,0,
tt0213446,0,0,
tt0259442,0,0,
tt0262826,0,0,
tt0279083,0,0,
tt0075824,0,0,
tt0120263,0,0,
tt0217355,0,0,
tt0291003,0,0,
tt0202642,0,0,
tt0209037,0,0,
tt0244709,0,0,
tt0262076,0,0,
tt0278522,0,0,
tt0204700,0,0,
tt0252510,0,0,
tt0193253,0,0,
tt0236019,0,0,
tt0216625,0,0,
tt0240419,0,0,
tt0208911,0,0,
tt0235198,0,0,
tt0249893,0,0,
tt0263957,0,0,
tt0290823,0,0,
tt0233841,0,0,
tt0215139,0,0,
tt7469978,0,0,
tt0238588,0,0,
tt0199314,0,0,
tt0270971,0,0,
tt0206367,0,0,
tt0251031,0,0,
tt0276860,0,0,
tt0232611,0,0,
tt0240149,0,0,
tt0273300,0,0,
tt0206742,0,0,
tt0256341,0,0,
tt1104806,0,0,
tt0160403,0,0,
tt0227277,0,0,
tt0273253,0,0,
tt6137622,0,0,
tt0234407,0,0,
tt0284262,0,0,
tt0284067,0,0,
tt0261066,0,0,
tt0245238,0,0,
tt0242795,0,0,
tt0206187,0,0,
tt0265212,0,0,
tt0250478,0,0,
tt0293342,0,0,
tt0212827,0,0,
tt0242252,0,0,
tt0232083,0,0,
tt0178642,0,0,
tt0212815,0,0,
