imdb_id,star,director,actor1,actor2,actor3,genre,runtime,user,critc,budget
tt5066598,5,Pepón Montero,Arturo Valls,Raúl Cimas,Natalia de Molina,Comedy,,no data,14,0
tt5358714,6.5,Oksana Karas,Semyon Treskunov,Ieva Andrejevaite,Anastasiya Bogatyreva,Comedy,95,1,15,0
tt4731132,5.8,Dmitriy Tyurin,Alex Sparrow,Pavel Priluchnyy,Aleksey Chadov,Comedy,98,no data,1,0
tt3415992,5.8,Roger Goldby,Joan Collins,Pauline Collins,Franco Nero,Comedy,105,15,7,0
tt2411144,5.2,Fernando Trueba,Penélope Cruz,Antonio Resines,Neus Asensi,Comedy,129,8,27,11800000
tt4947710,5.5,Max Croci,Ambra Angiolini,Luca Argentero,Livio Beshir,Comedy,,no data,2,0
tt6229852,5.6,Murat Dündar,Emrah Kaman,Pelin Akil,Safak Pekdemir,Comedy,,3,5,0
tt6573444,6.8,Ai Weiwei,Israa Abboud,Hiba Abed,Rami Abu Sondos,Documentary,140,5,71,0
tt5003186,5.6,Iñaki Dorronsoro,Alain Hernández,Javier Gutiérrez,Alba Galocha,Drama,105,1,12,0
tt5338222,7.6,Takahiro Miki,Sôta Fukushi,Nana Komatsu,Masahiro Higashide,Drama,111,7,2,0
tt4645368,6.9,Xavier Dolan,Gaspard Ulliel,Marion Cotillard,Léa Seydoux,Drama,96,44,154,10000000
tt5245062,5,Ruud Schuurman,Sven De Ridder,Pieter Verelst,Wilbert Gieske,Family,,no data,1,0
tt0046547,6.1,Henry Hathaway,Susan Hayward,Robert Mitchum,Walter Slezak,Adventure,96,15,4,0
tt5974460,6.6,Emil Ben-Shimon,Evelin Hagoel,Igal Naor,Orna Banai,Comedy,96,10,21,0
tt5437194,4.9,Tatyana Kapitan,Dmitriy Bogdan,Pyotr Chernyaev,Nikita Dzhigurda,Comedy,89,1,no data,1000000
